currentPosX,currentPosY,targetPosX,targetPosY
30,646,150,311
80,646,225,311
130,646,300,311
180,646,375,311
230,646,450,311
578,646,150,386
528,646,225,386
478,646,300,386
428,646,375,386
378,646,450,386
190,115,566,758
265,115,644,594
340,115,282,781
415,115,415,526
490,115,490,526
565,115,565,526
40,190,40,601
115,190,115,601
190,190,190,601
265,190,265,601
340,190,340,601
415,190,415,601
490,190,490,601
565,190,565,601
40,265,40,676
115,265,115,676
190,265,190,676
265,265,265,676
340,265,340,676
415,265,415,676
